Protokoll,Format,PayloadGroesse,Run,Serialization_ns,Deserialization_ns,RTT_Anwendung_ns
tcp,cbor,100,run2,18563724,26436274,205369798
tcp,cbor,100,run3,23195190,26989836,197148434
tcp,cbor,1000,run1,22255166,33216829,221649836
tcp,cbor,1000,run2,17915351,23616173,194058045
tcp,cbor,1000,run3,18004545,24337063,192319103
tcp,cbor,10000,run1,18521733,27128894,196868778
tcp,cbor,10000,run2,17740903,24482037,176334204
tcp,cbor,10000,run3,21156718,24360236,188463493
tcp,cbor,100000,run1,21003363,29859564,186990505
tcp,cbor,100000,run2,22627225,31240644,203288282
tcp,cbor,100000,run3,23476104,28348084,188371019
tcp,cbor,1000000,run1,27967576,41310475,208512489
tcp,cbor,1000000,run2,30898612,40750173,204595144
tcp,cbor,1000000,run3,27038235,41278091,205387487
tcp,cbor,10000000,run1,53216937,139347739,360554194
tcp,cbor,10000000,run2,50616112,83150495,302947527
tcp,cbor,10000000,run3,50991843,77466794,290667373
udp,json,100,run1,22696279,29900747,183695323
udp,json,100,run2,22149289,29120939,170987985
udp,json,100,run3,21112398,27899367,168801106
udp,json,1000,run1,24989462,32058857,179674572
udp,json,1000,run2,22030829,25646038,171270010
udp,json,1000,run3,21666402,27516251,173073897
udp,json,10000,run1,22572451,28922632,178858973
udp,json,10000,run2,21545235,26839098,174032289
udp,json,10000,run3,23563466,26793758,175184577
udp,xml,100,run1,28518143,37387287,256998532
udp,xml,100,run2,28674520,33569459,265230168
udp,xml,100,run3,28662172,39745042,299796170
udp,xml,1000,run1,25941113,36479125,260717077
udp,xml,1000,run2,23581146,35141226,268727146
udp,xml,1000,run3,26419667,39158530,258593007
udp,xml,10000,run1,25679236,39913513,246430802
udp,xml,10000,run2,28584553,33455348,243678519
udp,xml,10000,run3,24908097,42998993,252830651
udp,messagepack,100,run1,44905422,28402549,196474661
udp,messagepack,100,run2,53126261,30603626,216577752
udp,messagepack,100,run3,46251476,32642993,215235123
udp,messagepack,1000,run1,42525221,30480943,194362477
udp,messagepack,1000,run2,43300656,26832194,192775493
udp,messagepack,1000,run3,40286711,30468663,193953970
udp,messagepack,10000,run1,49210776,26343975,188406376
udp,messagepack,10000,run2,42778014,28762405,186648526
udp,messagepack,10000,run3,40270779,27204386,191639016
udp,protobuf,100,run1,38390169,61218359,68633345
udp,protobuf,100,run2,39726525,65167463,73979348
udp,protobuf,100,run3,40578566,64289838,70444894
udp,protobuf,1000,run1,41862866,74006670,83799477
udp,protobuf,1000,run2,36971820,65967266,72652218
udp,protobuf,1000,run3,47033300,66883157,72887706
udp,protobuf,10000,run1,44013263,70883392,77265015
udp,protobuf,10000,run2,50080954,67776930,74188862
udp,protobuf,10000,run3,48516223,69068022,77481205
udp,cbor,100,run1,20000696,27486022,204339651
udp,cbor,100,run2,23866242,33375973,260663396
udp,cbor,100,run3,18350427,23148230,185343294
udp,cbor,1000,run1,17836793,25626876,183486659
udp,cbor,1000,run2,18381624,24043006,179529089
udp,cbor,1000,run3,19696406,24337632,192237067
udp,cbor,10000,run1,19594908,45695064,224883066
udp,cbor,10000,run2,22660466,26896390,216937309
udp,cbor,10000,run3,19333878,25690740,193424269
